"","id","cs","subject_nr","resp_format","cs_valence","us_valence","cs_id","prerating","prerating_RT","postrating","postrating_RT","vm","rkg","vm_RT","rkg_RT","vm_correct","im_resp","im_opt","im_RT","im_correct","PD_practice_runs","PD_practice_correct","pd_RT","pd_resp","pd_set","material","cstype","PDprac_correct","PDprac_errors","ec","ec_abs","imcor","vmcor","vmconf","pdset","Proportion.Set1","Proportion.pleasant","pd_correct","pdcor","explicit","expl","RK_practice_runs","RK_practice_correct","RKprac_correct","RKprac_errors","conf","vmpos"
"48",2,"HM19.bmp","100","Control","neutral","positive","[cs_neutral_8]",10,2467,17,3431,"3","R",2092,842,TRUE,7,"2019.jpg",3812,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,7,7,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"49",2,"HM25.bmp","100","Control","neutral","none","[cs_neutral_16]",12,2653,9,5781,"1","G",3164,1919,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-3,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"50",2,"HM27.bmp","100","Control","neutral","none","[cs_neutral_9]",10,1802,10,3007,"1","R",1977,709,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"51",2,"HM38.bmp","100","Control","positive","positive","[cs_positive_3]",3,7917,15,1978,"1","K",1882,796,TRUE,3,"1947.jpg",5419,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,12,12,1,1,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"52",2,"HM40.bmp","100","Control","neutral","none","[cs_neutral_11]",11,3235,10,3114,"1","G",5855,2477,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"53",2,"HM41.bmp","100","Control","neutral","negative","[cs_neutral_17]",12,1865,15,1697,"2","K",2114,768,FALSE,6,"7054.jpg",3947,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,3,-3,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"54",2,"HM42.bmp","100","Control","neutral","negative","[cs_neutral_18]",12,2416,16,2384,"3","R",1104,678,FALSE,4,"6837.jpg",8779,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,4,-4,1,0,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"55",2,"HM44.bmp","100","Control","neutral","positive","[cs_neutral_1]",9,2465,16,2040,"3","R",1235,1209,TRUE,6,"2606.jpg",6921,FALSE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,7,7,0,1,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"56",2,"HM45.bmp","100","Control","positive","none","[cs_positive_4]",3,4465,9,2727,"1","G",1546,4238,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,6,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"57",2,"HM46.bmp","100","Control","neutral","negative","[cs_neutral_19]",12,2280,17,1840,"3","R",1672,1992,FALSE,3,"6314.jpg",6923,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,5,-5,1,0,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"58",2,"HM48.bmp","100","Control","negative","positive","[cs_negative_3]",15,2314,18,3337,"3","R",2997,1301,TRUE,1,"1313.jpg",2993,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,3,3,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"59",2,"HM49.bmp","100","Control","positive","none","[cs_positive_5]",4,3711,6,2206,"-3","K",4213,1286,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,2,NA,NA,0,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"60",2,"HM50.bmp","100","Control","positive","none","[cs_positive_6]",4,2085,7,2902,"-2","K",24335,4010,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","negative",NA,NA,3,NA,NA,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"61",2,"HW02.bmp","100","Control","negative","none","[cs_negative_5]",16,2526,14,4164,"3","R",1483,1401,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,-2,NA,NA,0,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"62",2,"HW08.bmp","100","Control","neutral","positive","[cs_neutral_2]",9,2280,9,4057,"-1","G",5515,1372,FALSE,5,"4537.jpg",2120,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,0,1,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"63",2,"HW09.bmp","100","Control","neutral","positive","[cs_neutral_3]",9,4052,15,1799,"2","R",1650,694,TRUE,1,"4531.jpg",3564,FALSE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,6,6,0,1,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"64",2,"HW10.bmp","100","Control","neutral","positive","[cs_neutral_4]",9,3960,15,3469,"2","R",3898,1095,TRUE,5,"5455.jpg",4949,FALSE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,6,6,0,1,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"65",2,"HW12.bmp","100","Control","neutral","negative","[cs_neutral_20]",12,2169,15,2742,"2","R",2807,782,FALSE,7,"7290.jpg",2643,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,3,-3,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"66",2,"HW14.bmp","100","Control","neutral","positive","[cs_neutral_5]",9,3529,13,2259,"2","K",2429,3552,TRUE,3,"4534.jpg",5590,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,4,4,1,1,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"67",2,"HW16.bmp","100","Control","negative","none","[cs_negative_6]",16,2059,16,2715,"3","R",1252,651,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,0,NA,NA,0,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"68",2,"HW17.bmp","100","Control","neutral","negative","[cs_neutral_21]",12,3502,9,1801,"1","R",1548,827,FALSE,6,"9090.jpg",6766,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-3,3,1,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"69",2,"HW18.bmp","100","Control","neutral","none","[cs_neutral_12]",11,1564,11,1523,"1","K",7412,1669,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"70",2,"HW20.bmp","100","Control","neutral","positive","[cs_neutral_6]",9,5755,5,1629,"-3","R",1923,946,FALSE,2,"2597.jpg",1823,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-4,-4,1,0,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"71",2,"HW21.bmp","100","Control","negative","none","[cs_negative_4]",15,2173,12,3230,"2","R",2147,781,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","positive",NA,NA,-3,NA,NA,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"72",2,"HW25.bmp","100","Control","neutral","none","[cs_neutral_10]",10,1498,10,3530,"2","R",1946,1032,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,0,NA,NA,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"73",2,"HW27.bmp","100","Control","neutral","none","[cs_neutral_13]",11,2176,10,2628,"1","K",1484,5569,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-1,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"74",2,"HW29.bmp","100","Control","negative","positive","[cs_negative_1]",14,3921,15,1741,"3","K",2784,946,TRUE,4,"1942.jpg",5846,FALSE,NA,NA,NA,NA,2,"faces","positive",NA,NA,1,1,0,1,3,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"high",NA
"75",2,"HW30.bmp","100","Control","positive","negative","[cs_positive_7]",4,3869,3,1903,"-3","R",1168,900,TRUE,5,"7046.jpg",9602,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,-1,1,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
"76",2,"HW31.bmp","100","Control","neutral","negative","[cs_neutral_22]",12,3089,9,4753,"2","R",1063,780,FALSE,4,"9472.jpg",10676,TRUE,NA,NA,NA,NA,2,"faces","neutral",NA,NA,-3,3,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"77",2,"HW34.bmp","100","Control","negative","positive","[cs_negative_2]",14,2455,12,2487,"2","R",1212,664,TRUE,8,"4503.jpg",5832,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-2,-2,1,1,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"78",2,"HW37.bmp","100","Control","negative","negative","[cs_negative_7]",16,3298,14,2569,"2","R",2156,1370,FALSE,2,"1280.jpg",6357,TRUE,NA,NA,NA,NA,2,"faces","positive",NA,NA,-2,2,1,0,2,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,"low",NA
"79",2,"HW38.bmp","100","Control","neutral","none","[cs_neutral_14]",11,3063,14,2468,"1","R",1839,914,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,"faces","neutral",NA,NA,3,NA,NA,0,1,2,0,0,FALSE,0,NA,NA,"1",TRUE,TRUE,1,NA,NA
"80",2,"HW39.bmp","100","Control","positive","negative","[cs_positive_8]",4,3521,1,1860,"-3","R",1295,887,TRUE,5,"9190.jpg",4292,TRUE,NA,NA,NA,NA,2,"faces","negative",NA,NA,-3,3,1,1,3,2,0,0,FALSE,0,TRUE,"TRUE","1",TRUE,TRUE,1,"high",NA
