"","id","cs","Instruction","Material","CS_Valence","US_Valence","Pairing","prerating","prerating_RT","postrating","postrating_RT","pdset","pdval","pd_RT","vmval","vmconf","vm_correct","vm_RT","RKG","rkg_RT","im_correct","im_RT"
"144","4","41.png","Control","gogos","neutral","positive","paired",8,2112,8,1378,NA,NA,NA,"negative",1,FALSE,12217,"G",2108,TRUE,2150
"145","4","42.png","Control","gogos","negative","positive","paired",2,2475,6,4268,NA,NA,NA,"negative",1,FALSE,1357,"G",704,FALSE,898
"146","4","43.png","Control","gogos","neutral","none","nonpaired",10,3313,11,1691,NA,NA,NA,"negative",1,FALSE,3794,"G",688,NA,NA
"147","4","44.png","Control","gogos","neutral","negative","paired",10,2248,7,3053,NA,NA,NA,"negative",1,TRUE,1270,"G",861,FALSE,2869
"148","4","49.png","Control","gogos","negative","negative","paired",4,1815,6,1691,NA,NA,NA,"negative",1,TRUE,7429,"G",838,TRUE,3664
"149","4","52.png","Control","gogos","neutral","positive","paired",8,1325,8,1526,NA,NA,NA,"negative",1,FALSE,10480,"G",787,FALSE,1291
"150","4","59.png","Control","gogos","positive","none","nonpaired",15,2037,14,1613,NA,NA,NA,"positive",1,FALSE,2369,"G",885,NA,NA
"151","4","60.png","Control","gogos","neutral","positive","paired",8,4456,8,1745,NA,NA,NA,"negative",1,FALSE,6006,"G",979,FALSE,2467
"152","4","62.png","Control","gogos","positive","negative","paired",15,2550,14,4135,NA,NA,NA,"positive",1,FALSE,5423,"G",716,TRUE,17757
"153","4","64.png","Control","gogos","positive","positive","paired",14,5629,13,1695,NA,NA,NA,"positive",1,TRUE,5809,"G",894,TRUE,3926
"154","4","71.png","Control","gogos","neutral","none","nonpaired",9,4512,4,2310,NA,NA,NA,"negative",1,FALSE,8090,"G",2651,NA,NA
"155","4","75.png","Control","gogos","neutral","none","nonpaired",9,2433,8,1595,NA,NA,NA,"positive",1,FALSE,3636,"G",706,NA,NA
"156","4","76.png","Control","gogos","neutral","positive","paired",8,2147,9,2162,NA,NA,NA,"negative",1,FALSE,3382,"G",819,TRUE,4704
"157","4","77.png","Control","gogos","positive","positive","paired",14,3023,11,3199,NA,NA,NA,"positive",1,TRUE,6710,"G",1100,FALSE,1395
"158","4","78.png","Control","gogos","positive","positive","paired",14,5293,14,2219,NA,NA,NA,"positive",1,TRUE,17913,"G",1359,TRUE,4174
"159","4","79.png","Control","gogos","neutral","positive","paired",8,2872,5,1607,NA,NA,NA,"positive",1,TRUE,3858,"G",760,FALSE,5813
"160","4","80.png","Control","gogos","neutral","negative","paired",10,1585,8,2079,NA,NA,NA,"positive",1,FALSE,6711,"G",861,TRUE,2654
